ngram,n,count
गरी.,3,167
॥ ॥,3,104
पछि.,3,91
लाई.,3,89
भनि.,3,75
नेपाल,3,74
.आफ्ना,3,70
रहेछ,3,68
छन्.,3,67
भम् ,3,66
 १ ,3,65
पर्वत,3,62
पठाया,3,62
साहव,3,62
कादिन,3,60
भयाको,3,59
स्वस्तिश्री,3,59
तिसम्व,3,58
षवर,3,57
 स्वस्ति,3,57
शुभम्,3,57
सालमि,3,57
लमिति,3,56
हरूले,3,55
भयाका,3,53
वनाई,3,52
सम्वत्,3,52
भया.,3,51
राजा ,3,50
नगर,3,48
श्रीश्रीश्री,3,47
इपठा,3,47
त्१८,3,45
निमित्त,3,44
दर्वार,3,44
होला.,3,44
साहेव,3,44
उप्रान्त,3,44
ठायाको,3,44
मोहर,3,44
राजाले,3,43
.राजा,3,43
म्वत्१,3,43
नगरी,3,42
देवता,3,42
याकोछ,3,42
चरण,3,42
इन्कापु,3,42
न्कापुत्र,3,42
नुभया,3,41
पनि.,3,41
स्वयंभू,3,40
.ताहा,3,39
हाराजा,3,39
पठाउ,3,38
ताहाप,3,37
कोछ.,3,37
हजूर,3,37
साधलु,3,37
भैगया,3,36
हुनाले,3,36
योर.,3,36
नरल,3,36
इतिस,3,36
रहदा,3,35
हापछि,3,35
राजमा,3,35
 आगे,3,35
ई.आ,3,34
जाहेर,3,34
हेछ.,3,34
यार.,3,33
नाई.,3,33
भयो.,3,33
भया॥,3,33
वाट.,3,33
भन्या.,3,33
भनिना,3,33
हरूका,3,33
दिन.,3,32
दर्शन,3,32
स् प,3,32
गरि.,3,32
विराज,3,32
.राज,3,32
ईपठा,3,32
सर्कार,3,32
 श्रीदु,3,32
मन्महा,3,32
प्रकाश,3,31
याका.,3,31
मित्त.,3,31
आई.,3,31
ले.आ,3,31
रगरी,3,31
कामग,3,31
तस् ,3,31
या॥ ,3,31
महारा,3,31
निनाम,3,31
राज्यग,3,31
१८९,3,31
नगरा,3,31
अनेक,3,30
माचार,3,30
 अर्जि,3,30
श्रीमन्म,3,30
न्महारा,3,30
प्रान्त.,3,29
उस् ,3,29
कन.,3,29
 पछि,3,29
.वडो,3,29
कहरू,3,29
जमान,3,29
आयाको,3,29
समाचा,3,29
जनर,3,29
श्रीदुर्गा,3,29
विस्तार,3,29
राजाधि,3,29
 लाई,3,28
लोकह,3,28
रवाट,3,28
यापछि,3,28
नभनि,3,28
अर्जि ,3,28
हजुर,3,28
धिराज,3,28
ह्येश्वरी,3,27
गर्दा.,3,27
श्रावण,3,27
रह्याको,3,27
 वंशा,3,27
वंशा ,3,27
वमोजी,3,27
चह्राइ,3,27
जाधिरा,3,27
.एक,3,26
गुह्येश्व,3,26
विहार,3,26
.सवै,3,26
.अव,3,26
रह्याका,3,26
 २ ,3,26
नागरी,3,26
उद्धार,3,26
र्जि उ,3,26
महन्त्या,3,26
गरिव,3,26
.आफु,3,25
रूलाई,3,25
हरूला,3,25
नदेषि,3,25
नाराय,3,25
ज्यगरी,3,25
रोज५,3,25
रहोला,3,25
कोसमा,3,25
दाभया,3,24
.उस्,3,24
राजाका,3,24
गया.,3,24
लेपनि,3,24
पश्चिम,3,24
मंजुश्री,3,24
छैन.,3,24
राषी.,3,24
याको.,3,24
जाई.,3,24
गर्याको,3,24
मुलुक,3,24
सुदि१,3,24
र.रा,3,23
 भनि,3,23
या.त,3,23
.नेपा,3,23
पालामा,3,23
र्वतमा,3,23
गया॥,3,23
नभया,3,23
देषि.,3,23
भावग,3,23
सहर,3,23
.अघि,3,23
मिहरू,3,23
हन्त्याञी,3,23
.तही,3,22
मगरी,3,22
.महा,3,22
प्रख्यात,3,22
जाभाव,3,22
कनाग,3,22
पुत्र.,3,22
कोरहे,3,22
रोज२,3,22
सेवक,3,22
 उप्रा,3,22
ह्राइप,3,22
५रोज,3,22
लालमो,3,22
धलुह,3,22
मुकाम,3,22
र्हाइप,3,22
वर्षरा,3,22
श्वरीका,3,21
रवना,3,21
.फेरी,3,21
याकोहो,3,21
गरीर,3,21
.औ.,3,21
 दिन,3,21
.अने,3,21
 वाट,3,21
श्रीस्वयं,3,21
०००,3,21
पशुप,3,21
आनन्द,3,21
रूले.,3,21
वगरी,3,21
भैगयो,3,21
दासम,3,21
कोछैन,3,21
स्तिश्रीम,3,21
दि६रो,3,21
६रोज,3,21
लमोह,3,21
पठाय़ा,3,21
रुपैया,3,21
श्रीश्रीम,3,21
४रोज,3,21
र्षराज्य,3,21
